company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
"Prodesta provides a professional resource solutions that includes getting to know your business requirements and corporate culture intimately We believe to achieve and sustain success by effectively managing your most valuable asset ?Talent?. We work closely with our clients and our candidates to understand their needs and build a long lasting, result oriented relationships. Our customized candidate search process is made to consistently match excellent candidates to fulfill employer?s need and ensure a fruitful partnerships.","RoleInterior Designer,",Not Disclosed,2 - 7 years,Bengaluru,"Job description Job Position: Senior Interior Designer /  Interior Design Executive/  Interior Designer Job Location: Bangalore Qualification: Diploma(Interior)/  Any Graduation(Interior) Experience: 2 to 10yrs   Visiting & understanding the site in complete respect for a particular brand,  for all its requirements.   Planning,  designing,  and drafting with detailed specifications for creating a pleasing and functional interior environment.   Designing the retail space for clients of different brands,  as per the brand image & identity.   Publishing working drawings along other desired details for the construction /  execution work at site.   Making BOQ (Bill of Quantity) for the project in relation to the drawings.   Submitting& explaining the drawings to the contractors and vendors as per standardized interiors.   Visiting the site for measurement and verification of the ongoing work at site.   Integration of all the services required in the project.   Working in team for different aspects of the project & controlling the work in team.RoleInterior Designer,Industry TypeStrategy, Management Consulting Firms,Functional AreaArchitecture, Interior Design,Employment TypeFull Time, PermanentRole CategoryInterior DesignEducationUG :Any Graduate in Any SpecializationPG :Any Postgraduate in Any SpecializationKey SkillsDesign ExecutiveMeasurementRetailConstructionPublishingProject controlContractorsInterior designingImage","['Design Executive', 'Measurement', 'Retail', 'Construction', 'Publishing', 'Project control', 'Contractors', 'Interior designing', 'Image']","['UG :Any Graduate in Any Specialization', 'PG :Any Postgraduate in Any Specialization']","Industry TypeStrategy, Management Consulting Firms,","Functional AreaArchitecture, Interior Design,","Employment TypeFull Time, Permanent",Role CategoryInterior Design
"Seven Consulting is a private and independent Australian Program Management Consultancy providing seasoned professionals to deliver large - scale, complex business transformation and IT projects and programs to agreed performance criteria for Australia's top organisations. We manage our client's IT projects, turn around their troubled projects or improve their overall project delivery capability. Our clients include CBA, Westpac, Superpartners, Ericsson, Telstra, QBE, Hewlett Packard, Vodafone Hutchison, NAB / MLC, ANZ, Endeavour Energy, WorleyParsons, Woolworths, Oil Search, Transport for NSW and Stockland.","RoleArchitect,",Not Disclosed,6 - 8 years,Mumbai,"Job description7: Architectural Industry recruitment agency in Mumbai | Architectural Industry Placement consultant in Mumbai | Architectural Industry recruitment agency in Maharashtra | Architectural Industry Placement consultant in Maharashtra | Architectural Industry recruitment agency in Bangalore | Architectural Industry Placement consultant in Bangalore | best Recruitment Agency in Bangalore | top Placement Agency in Bangalore | Architectural Industry recruitment agency in India | Architectural Industry Placement consultant in India   Jobs for for interior designer , jobs in andheri     RoleArchitect,Industry TypeIT-Software, Software Services,Functional AreaArchitecture, Interior Design,Employment TypeFull Time, PermanentRole CategoryArchitectural ServicesEducationUG :Any Graduate in Any SpecializationPG :Post Graduation Not RequiredKey SkillsArchitectureInterior decorationLayout planningRecruitment","['Architecture', 'Interior decoration', 'Layout planning', 'Recruitment']","['UG :Any Graduate in Any Specialization', 'PG :Post Graduation Not Required']","Industry TypeIT-Software, Software Services,","Functional AreaArchitecture, Interior Design,","Employment TypeFull Time, Permanent",Role CategoryArchitectural Services
"At ASD, we believe that the way we work can add meaning and value to the world. Ideas inspire positive changes and coloring outside the lines can illuminate fresh perspectives. Small details yield important realizations, so we believe that collaboration is the best way forward. asd is the best interior designers in bangalore now a days

We specialize in architecture, landscape, interiors, work space designs. While we are most well known for adding beauty and structure to communities through high performance buildings and smart infrastructure, we provide much more than that.

We believe, design is the means. The starting points are goals, strategies and expectations, but it transcends them to create a new and better reality. Design is transformative.","RoleInterior Designer,",Not Disclosed,0 - 1 years,Bengaluru,"Job description Job description  Understanding design requirements from the client/architect and designer  understanding of Site lay-out/map, proposing our products as per the interior design of the project  Skilled in AutoCAD Designing, Drafting, taking measurements & site Inspection   RoleInterior Designer,Industry TypeArchitecture, Interior Design,Functional AreaArchitecture, Interior Design,Employment TypeFull Time, PermanentRole CategoryInterior DesignEducationUG :B.Arch in ArchitecturePG :Post Graduation Not RequiredKey SkillsInternInterior Designer InternInterior Designer","['Intern', 'Interior Designer Intern', 'Interior Designer']","['UG :B.Arch in Architecture', 'PG :Post Graduation Not Required']","Industry TypeArchitecture, Interior Design,","Functional AreaArchitecture, Interior Design,","Employment TypeFull Time, Permanent",Role CategoryInterior Design
Ashleys is a multi-award winning interior design Read more about us on www.theashleys.co.in.,"RoleInterior Designer,",Not Disclosed,4 - 6 years,Mumbai,"Job descriptionThe role will entail handling  projects and  client meetings  from inception to completion in totality. Conceptualizing designs, preparing presentation boards, design and working drawings ,  executing the project. Lead a team of designersRequired Candidate profileWe are looking for someone with the following skills- Strong hold on designing & preparing drawings.Fluent in english with good commuinication skills.Experienced in preparation of BOQ and site supervision.Perks and benefitsBased on experience and expertiseRoleInterior Designer,Industry TypeArchitecture, Interior Design,Functional AreaArchitecture, Interior Design,Employment TypeFull Time, PermanentRole CategoryInterior DesignEducationUG :Diploma, Diploma, Diploma, Diploma, Any Graduate, B.Arch, B.Arch, B.Arch, Any GraduatePG :Post Graduation Not Required, Any Postgraduate, Post Graduation Not Required, Post Graduation Not Required, Any Postgraduate, Post Graduation Not RequiredDoctorate :Doctorate Not Required, Any Doctorate in Any SpecializationKey Skillsdesign headinterior designproject headjunior interior designerarchitect interiorsproject architectassociate interior designersenior interior designerassistant interior designer","['design head', 'interior design', 'project head', 'junior interior designer', 'architect interiors', 'project architect', 'associate interior designer', 'senior interior designer', 'assistant interior designer']","['UG :Diploma, Diploma, Diploma, Diploma, Any Graduate, B.Arch, B.Arch, B.Arch, Any Graduate', 'PG :Post Graduation Not Required, Any Postgraduate, Post Graduation Not Required, Post Graduation Not Required, Any Postgraduate, Post Graduation Not Required', 'Doctorate :Doctorate Not Required, Any Doctorate in Any Specialization']","Industry TypeArchitecture, Interior Design,","Functional AreaArchitecture, Interior Design,","Employment TypeFull Time, Permanent",Role CategoryInterior Design
Ashleys is a multi-award winning interior design Read more about us on www.theashleys.co.in.,"RoleInterior Designer,",Not Disclosed,4 - 9 years,Mumbai,"Job descriptionThe role will entail handling  projects and  client meetings  from inception to completion in totality. The work profile will include conceptualizing designs, preparing presentation boards, design and working drawings ,  executing the projectRequired Candidate profileWe are looking for someone with the following skills- Strong hold on designing & preparing drawings.Fluent in english with good commuinication skills.Experienced in preparation of BOQ and site supervision.Perks and benefitsBased on experience and expertiseRoleInterior Designer,Industry TypeArchitecture, Interior Design,Functional AreaArchitecture, Interior Design,Employment TypeFull Time, PermanentRole CategoryInterior DesignEducationUG :Any Graduate, Diploma, Diploma, B.Arch, Diploma, B.Arch, B.Arch, Diploma, Any GraduatePG :Post Graduation Not Required, Post Graduation Not Required, Any Postgraduate, Post Graduation Not Required, Any Postgraduate, Post Graduation Not RequiredDoctorate :Doctorate Not Required, Any Doctorate in Any SpecializationKey Skillsdesign headinterior designproject headjunior interior designerarchitect interiorsproject architectassociate interior designersenior interior designerassistant interior designer","['design head', 'interior design', 'project head', 'junior interior designer', 'architect interiors', 'project architect', 'associate interior designer', 'senior interior designer', 'assistant interior designer']","['UG :Any Graduate, Diploma, Diploma, B.Arch, Diploma, B.Arch, B.Arch, Diploma, Any Graduate', 'PG :Post Graduation Not Required, Post Graduation Not Required, Any Postgraduate, Post Graduation Not Required, Any Postgraduate, Post Graduation Not Required', 'Doctorate :Doctorate Not Required, Any Doctorate in Any Specialization']","Industry TypeArchitecture, Interior Design,","Functional AreaArchitecture, Interior Design,","Employment TypeFull Time, Permanent",Role CategoryInterior Design
Via Design India LLP,"RoleInterior Designer,",Not Disclosed,0 - 10 years,not specified,"Job descriptionInterior Designers are part of our studio teams working in tandem with Architects, project management team and external consultants in delivering our design solutions for the client.ResponsibilitiesWork with senior Project Leads in designing and detailing of projectsProvide support for technical aspects of project deliveryProgress to working independently to deliver complete range of consulting services from client interface, design program development, designing, specification, tendering support and project execution support servicesDesired Candidate ProfileAny Graduation with vocational degree in Interior Design. 0 to 10 years of experience.Preferably candidates with background in design and execution of interior fit out projects.Very High level of AutoCAD skills and all around computer skills are essential.RoleInterior Designer,Industry TypeArchitecture, Interior Design,Functional AreaArchitecture, Interior Design,Employment TypeFull Time, PermanentRole CategoryInterior DesignEducationUG :Any Graduate in Any SpecializationPG :Post Graduation Not RequiredKey SkillsComputer skillsAutoCADlevelProject managementConsultingSupport servicesProject deliveryInterior designingProject executionIndesign","['Computer skills', 'AutoCAD', 'level', 'Project management', 'Consulting', 'Support services', 'Project delivery', 'Interior designing', 'Project execution', 'Indesign']","['UG :Any Graduate in Any Specialization', 'PG :Post Graduation Not Required']","Industry TypeArchitecture, Interior Design,","Functional AreaArchitecture, Interior Design,","Employment TypeFull Time, Permanent",Role CategoryInterior Design
Ashleys is a multi-award winning interior design Read more about us on www.theashleys.co.in.,"RoleInterior Designer,",Not Disclosed,4 - 9 years,Mumbai,"Job descriptionThe role will entail handling  projects and  client meetings  from inception to completion in totality. Conceptualizing designs, preparing presentation boards, design and working drawings ,  executing the project. Lead a team of designersRequired Candidate profileWe are looking for someone with the following skills- Strong hold on designing & preparing drawings.Fluent in english with good commuinication skills.Experienced in preparation of BOQ and site supervision.Perks and benefitsBased on experience and expertiseRoleInterior Designer,Industry TypeArchitecture, Interior Design,Functional AreaArchitecture, Interior Design,Employment TypeFull Time, PermanentRole CategoryInterior DesignEducationUG :Diploma, B.Arch, Diploma, B.Arch, Diploma, Diploma, Any Graduate, B.Arch, Any GraduatePG :Post Graduation Not Required, Any Postgraduate, Any Postgraduate, Post Graduation Not Required, Post Graduation Not Required, Post Graduation Not RequiredDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey Skillsdesign headinterior designproject headjunior interior designerarchitect interiorsproject architectassociate interior designersenior interior designerassistant interior designer","['design head', 'interior design', 'project head', 'junior interior designer', 'architect interiors', 'project architect', 'associate interior designer', 'senior interior designer', 'assistant interior designer']","['UG :Diploma, B.Arch, Diploma, B.Arch, Diploma, Diploma, Any Graduate, B.Arch, Any Graduate', 'PG :Post Graduation Not Required, Any Postgraduate, Any Postgraduate, Post Graduation Not Required, Post Graduation Not Required, Post Graduation Not Required', 'Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required']","Industry TypeArchitecture, Interior Design,","Functional AreaArchitecture, Interior Design,","Employment TypeFull Time, Permanent",Role CategoryInterior Design
Ashleys is a multi-award winning interior design Read more about us on www.theashleys.co.in.,"RoleInterior Designer,",Not Disclosed,4 - 6 years,Mumbai,"Job descriptionThe role will entail handling  projects and  client meetings  from inception to completion in totality. Conceptualizing designs, lead projects. Lead a team of designers. Business development.Required Candidate profileWe are looking for someone with the following skills- Strong hold on designing & preparing drawings.Fluent in english with good commuinication skills.Experienced in preparation of BOQ and site supervision.Perks and benefitsBased on experience and expertiseRoleInterior Designer,Industry TypeArchitecture, Interior Design,Functional AreaArchitecture, Interior Design,Employment TypeFull Time, PermanentRole CategoryInterior DesignEducationUG :B.Arch, B.Arch, Any Graduate, Diploma, Diploma, Any Graduate, B.Arch, Diploma, DiplomaPG :Post Graduation Not Required, Any Postgraduate, Any Postgraduate, Post Graduation Not Required, Post Graduation Not Required, Post Graduation Not RequiredDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey Skillsdesign headinterior designproject headjunior interior designerarchitect interiorsproject architectassociate interior designersenior interior designerassistant interior designer","['design head', 'interior design', 'project head', 'junior interior designer', 'architect interiors', 'project architect', 'associate interior designer', 'senior interior designer', 'assistant interior designer']","['UG :B.Arch, B.Arch, Any Graduate, Diploma, Diploma, Any Graduate, B.Arch, Diploma, Diploma', 'PG :Post Graduation Not Required, Any Postgraduate, Any Postgraduate, Post Graduation Not Required, Post Graduation Not Required, Post Graduation Not Required', 'Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required']","Industry TypeArchitecture, Interior Design,","Functional AreaArchitecture, Interior Design,","Employment TypeFull Time, Permanent",Role CategoryInterior Design
"IndusInd Bank Ltd. is a  Customer-focused, technology-based, ISO 9001:2000 certified new generation private sector Bank with ambitious growth plan is looking for the following position.","RoleClient Servicing/Key Account Manager,","₹ 4,00,000 - 5,50,000 P.A. ",4 - 6 years,Coimbatore,"Job description  Job Responsibilities      - Handling sales of CASA products, Mutual Funds,  Life Insurance, Health Insurance, PMS, Credit/Debit Card, Home Loan and LAP for  existing portfolio   - Responsible for end to end customer service  for mapped clients.- Source new to bank accounts to build Bank Book   - Deepening family household penetration   - Cross sell financial products to customers.   - Inform customers about new products or  products enhancements to further expand the banking relationship.   - Maintain complete relationship record for  assigned customers account.   - Meeting and engaging with mapped clients to  deepen banking relationship.    Prior sales experience of min 4 - 6 years in  Banking/NBFC/Insurance is mandatory   Warm  Regards,      Pravinkumar      Human  Resources      IndusInd  Bank      9944186999Perks and Benefits+ Incentive +conveyanceRoleClient Servicing/Key Account Manager,Industry TypeBanking, Financial Services, Broking,Functional AreaFinancial Services, Banking, Investments, Insurance,Employment TypeFull Time, PermanentRole CategoryCorporate BankingEducationUG :Any Graduate in Any SpecializationPG :Post Graduation Not RequiredDoctorate :Doctorate Not RequiredKey SkillsCustomer ServiceSalesMutual FundsLife InsuranceCross SellingKey AccountsFinanceBankingFinancial ProductsHealth Insurance","['Customer Service', 'Sales', 'Mutual Funds', 'Life Insurance', 'Cross Selling', 'Key Accounts', 'Finance', 'Banking', 'Financial Products', 'Health Insurance']","['UG :Any Graduate in Any Specialization', 'PG :Post Graduation Not Required', 'Doctorate :Doctorate Not Required']","Industry TypeBanking, Financial Services, Broking,","Functional AreaFinancial Services, Banking, Investments, Insurance,","Employment TypeFull Time, Permanent",Role CategoryCorporate Banking
Banking / Insurance industry,"RoleBanc Assurance,","₹ 1,00,000 - 4,25,000 P.A. ",0 - 5 years,Patna,"Job descriptionUrgent opportunity with lucrative salary for Arrah and Darbhanga circle for a renowned Insurance / Banking industry :Relationship ManagersSkills : Bancassurance or Financial SalesNote : Candidate from Agency Sales kindly dont share your bio data.Salary : Max. 4.10 LPAKey ResponsibilitiesResponsible for business target achievement through sale of life and health insurance products to customers of partner branches.Responsible for branch activation lead generator activation through regular engagement with partner branch staff and handling respective team members.Conduct regular sales activities within branch and catchment areas to generate leads.Maintain discipline rigor of daily sales activities - DsR LmS input.Ensure adherence to end to end business process with in the specified timelines.Adhering to regulatory requirements monitoring quality of business.Ensure timelyresolution of queries and complaints, and controlling the instances of adverse customer experience.Contact : Poulomi Mitra (poulomi.mitra@adecco.com)Required Candidate profileJob Locations : Arrah, Sasaram, Buxar, Khagaria, Begusarai, Bhabua, Lakhisarai, Biharsarif, Purnia, Farbisganj, SupaulRoleBanc Assurance,Industry TypeInsurance,Functional AreaFinancial Services, Banking, Investments, Insurance,Employment TypeFull Time, PermanentRole CategoryGeneral InsuranceEducationUG :Any Graduate in Any SpecializationPG :Post Graduation Not RequiredDoctorate :Doctorate Not RequiredKey Skillsfinancial salesbancassurancefinancebanking","['financial sales', 'bancassurance', 'finance', 'banking']","['UG :Any Graduate in Any Specialization', 'PG :Post Graduation Not Required', 'Doctorate :Doctorate Not Required']","Industry TypeInsurance,","Functional AreaFinancial Services, Banking, Investments, Insurance,","Employment TypeFull Time, Permanent",Role CategoryGeneral Insurance
"Today, Smart Employer is one of the top recruitment agency in Odisha also the best leaders in providing outsourced services.Since 2015, we have outsourced over 7,000+employees to various Domestic and National clients.That's our motto for succesS","RoleSales Officer,","₹ 1,75,000 - 2,25,000 P.A. ",0 - 2 years,Bhubaneshwar,"Job descriptionLeading Private Banks Hiring BSO & CSOType: Permanent on the rolls of PRIVATE BANKSSalary- 15k to 24k per month with Extra IncentivesLocation- All over in OdishaQua-Any Graduate or Post GraduateThis is a permanent job & ON ROLLS of Private BankCall us-9178348296 for more queriesLimited VacancyAPPLY SOONNOTE - If your criteria doesn't match forword this message to your friends and relatives who are looking for jobs in banking sectorVisit our office :- Plot No-A/23, Nilakantha Nagar             Nayapalli, Bhubaneswar, Pin- 751012             Backside of Regional Passport Office Perks and BenefitsPerformance Based Incentive, PF, ESI ,bonus ,gratuity, Mediclaim, Insurance Benefit, Petrol & Mobile ReimbursementRoleSales Officer,Industry TypeBanking, Financial Services, Broking,Functional AreaFinancial Services, Banking, Investments, Insurance,Employment TypeFull Time, PermanentRole CategoryRetail/Personal BankingEducationUG :B.Tech/B.E. in Any Specialization, Any Graduate in Any Specialization, B.B.A / B.M.S in Management, B.Com in Commerce, B.Sc in Any SpecializationPG :Any Postgraduate in Any Specialization, Post Graduation Not RequiredDoctorate :Doctorate Not Required, Any Doctorate in Any SpecializationKey SkillskotakbdeicicitelebankingBfsi SalesfinancialBankingPhone Bankinghdfcbanking salesbfsisales officerprivate bankingBusiness Development Executive","['kotak', 'bde', 'icici', 'telebanking', 'Bfsi Sales', 'financial', 'Banking', 'Phone Banking', 'hdfc', 'banking sales', 'bfsi', 'sales officer', 'private banking', 'Business Development Executive']","['UG :B.Tech/B.E. in Any Specialization, Any Graduate in Any Specialization, B.B.A / B.M.S in Management, B.Com in Commerce, B.Sc in Any Specialization', 'PG :Any Postgraduate in Any Specialization, Post Graduation Not Required', 'Doctorate :Doctorate Not Required, Any Doctorate in Any Specialization']","Industry TypeBanking, Financial Services, Broking,","Functional AreaFinancial Services, Banking, Investments, Insurance,","Employment TypeFull Time, Permanent",Role CategoryRetail/Personal Banking
Financial service providerMudraPay(Product of Microlucid Technology)https://www.mudrapay.in/,"RoleSales Officer,",Not Disclosed,0 - 3 years,Pune( Baner ),"Job descriptionDon't let the Lockdown Period stop you from getting a job!Candidates from Banking Sales & Loan selling experience is highly preferredAt least 6 months of relevant experience in BFSI / NBFC preferablyCandidates with good communication skills and pleasant personalityRecord and maintain the quality of leads and ensure the progression of leads from identification to closure.Maintain a quality pipeline by targeting the right set of audience and weeklyClosure by continuous follow-up.Ensure end-to-end delivery and sustain the given targets.Meeting all the customers during the course of loan processIdentifying and maintaining good relation with channels to increase personal loans / business loans business.Exellent Commumnication.Freshers are Welcome!If you are interested to learn more about this opportunity & wish to apply for the role, please share your updated resume to resume@microlucid.comRequired Candidate profile1) Marathi language Proficiency is compulsory.2) Decent English language Proficiency.3) Energetic,Confident, Sales oriented.Perks and BenefitsPerfomamce based Incentive will be applied,petrol Allowances.RoleSales Officer,Industry TypeBanking, Financial Services, Broking,Functional AreaFinancial Services, Banking, Investments, Insurance,Employment TypeFull Time, PermanentRole CategoryRetail/Personal BankingEducationUG :Any Graduate in Any SpecializationPG :Any Postgraduate in Any SpecializationDoctorate :Doctorate Not RequiredKey SkillsSellinginsurance salesfinancial salesPersonal Loanstelecom salesSales Executive ActivitiesBanking Sales","['Selling', 'insurance sales', 'financial sales', 'Personal Loans', 'telecom sales', 'Sales Executive Activities', 'Banking Sales']","['UG :Any Graduate in Any Specialization', 'PG :Any Postgraduate in Any Specialization', 'Doctorate :Doctorate Not Required']","Industry TypeBanking, Financial Services, Broking,","Functional AreaFinancial Services, Banking, Investments, Insurance,","Employment TypeFull Time, Permanent",Role CategoryRetail/Personal Banking
"IndusInd Bank Ltd. is a  Customer-focused, technology-based, ISO 9001:2000 certified new generation private sector Bank with ambitious growth plan is looking for the following position.","RoleCustomer Service Manager,","₹ 12,00,000 - 16,00,000 P.A. ",4 - 8 years,Mumbai Suburbs,"Job descriptionRole Details     This is an    individual role responsible for managing NRI Portfolios of the Branch for    incremental deepening value, sourcing high end NR Business accounts &    generating fee based income.  Overall Job Description      Acquisition    of key clients & high net worth customers & addition of these clients    to the existing portfolio for book growth.     Building    client rapport with corporate sector/NR clients.     Providing    financial advice related to investments, insurance, simple banking    transactions.     Delivering    the target number with quality and customer delight.     Managing    customer relationships & addressing both service & sales queries for    customers with an objective to engage & retain customers.     Sourcing    NRI customers & thereby generating fee based income. Desired Behavioral / Functional Traits    Knowledge of  Banking products and processes.  Strong  Relationship Management skills.   Multi-tasking  with crisis management capabilities.  Excellent at  client servicing.  Ability to  maintain/attract long lasting client relationships.                    Should  be well versed with    RoleCustomer Service Manager,Industry TypeBanking, Financial Services, Broking,Functional AreaFinancial Services, Banking, Investments, Insurance,Employment TypeFull Time, PermanentRole CategoryRetail/Personal BankingEducationUG :Any Graduate in Any Specialization, Graduation Not Required, B.Com in Commerce, B.A in Any SpecializationPG :MBA/PGDM in Any Specialization, Post Graduation Not Required, Any Postgraduate in Any SpecializationDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey SkillsNRI Relationship ManagerbfsiRelationship Managementfinancial servicesbanking","['NRI Relationship Manager', 'bfsi', 'Relationship Management', 'financial services', 'banking']","['UG :Any Graduate in Any Specialization, Graduation Not Required, B.Com in Commerce, B.A in Any Specialization', 'PG :MBA/PGDM in Any Specialization, Post Graduation Not Required, Any Postgraduate in Any Specialization', 'Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required']","Industry TypeBanking, Financial Services, Broking,","Functional AreaFinancial Services, Banking, Investments, Insurance,","Employment TypeFull Time, Permanent",Role CategoryRetail/Personal Banking
"HDFC Bank Ltd was promoted in the year 1994 by the premier housing finance company of the country, HDFC Ltd. The Bank commenced operations as a Scheduled Commercial Bank in January 1995. Today the Bank has a nationwide network of over 2000 branches and 5624 ATMs spread over 996 towns and cities across India The Banks American Depository Shares (ADS) are listed on the New York Stock Exchange (NYSE) and the Global Depository Receipts (GDRs) are listed on Luxembourg Stock Exchange. The Bank has been bestowed with numerous awards and accolades from top national and international agencies & magazines. HDFC Bank comprises of a dynamic and enthusiastic team determined to accomplish the vision of becoming a World-class Indian bank. Our business philosophy is based on our four core values - Customer Focus, Operational Excellence, Product Leadership and People. We believe that the ultimate identity and success of our bank will reside in the exceptional quality of our people and their extraordinary efforts. We are committed to hiring, developing, motivating and retaining the best people in the industry The Bank’s objective is to build sound business franchises across distinct businesses so as to be a preferred provider of banking services for target retail and wholesale customer segments. We are committed to healthy growth in profitability while ensuring the highest levels of ethical standards, professional integrity, corporate governance and regulatory compliance.","RoleCRM/Phone/Internet Banking Executive,",Not Disclosed,3 - 8 years,Hyderabad,"Job descriptionResponsible for managing a team size of 15 Personal  Bankers managing prime portfolios Managing team in order to ensure that the portfolio  objectives like cross-sell, income, quality parameters and regular service  interactions etc. are met and the Prime customers are serviced properly. Operations process  adherence should be the main objective with meeting the Audit & Compliance  parameter  Managing the team in order  to ensure proper engagement with customers with focus to increase the digital  penetration and all product penetration to achieve the objective of  income/revenue generation                 Responsible for training and motivating staff.Driving the team for building effective relationship    management with customers and guiding the team for revenue/income generation.      Monitor the revenue generated regularly.   Performance tracking and review with the PB.  Monitor the performance of all the portfolios under    management so as to meet the income targets set month on month.     Driving the team    for achieving the defined    business objective set     Ensure that    every Personal Banker is meeting the defined parameters of the portfolio      Build on the    liability balance s     Every portfolio    to have the required set of groups as per benchmark so as to build    relationship with the customers. Make    the family members part of the program by addition of groups.     Maintain and    track the no of eligible groups in the portfolio.     By engaging with    the customers with cross sell and convenience products      Enhancement of    digital penetration in the portfolios under management with proper NB/MB    activation      Improve the    stickiness of the customer by making the customers use bill pay facility of    the bank.     Penetrate into    other digital products like Bill Pay, Smart-pay/ net-banking/mobile-banking     Contactibility -Ensure the PB    calls the customers as per the calling plan and reaches out to all the    customers at least once in a 4 months     Daily triggers    triggered are contacted timely by the PBs and business opportunities created.     Ensure the    Missed calls and birthday calls are made on time to customers to engage with    the customers.     Check and    monitor the call attempts versus the proper connects and analyses the reason    for non-contactable customers     Supervisory Review-Review the customer transaction history, profile,    interactions, APT and give proper recommendations to the PB for action in CRM    next. Share feedback with the customers post the reviews are done. Check if    the guidance given is being followed by the PBs.     Profilers-Review that the PB updates the information which is sought    with the customers during the conversation made .     Review of    Service interactions updated by the PB whether they are updated in a complete    manner or not      Tracking of    profiler updation of PB on each and every calls and on the basis of the    profiler the PB are interacting with the customers.     Customer    feedback and appreciation is highlighted for improving the PB interactions    with customers      Analyzing the PB    for their problem areas like query handling, objection handling, product    features, pitching etc.     Handling the    calls escalated.     Identify training    gaps and requirement for his team and communicate the same to the UH/    Training Manager     Barging of calls    made by PBs daily followed by giving    feedback and review and check if the feedback has been implemented and there    is improvement.     Motivating the    team and creating the team bonding      Engaging with    team      Control the    attrition in the team and reviewing the reason for it RoleCRM/Phone/Internet Banking Executive,Industry TypeBanking, Financial Services, Broking,Functional AreaFinancial Services, Banking, Investments, Insurance,Employment TypeFull Time, PermanentRole CategoryRetail/Personal BankingEducationUG :Any Graduate in Any SpecializationPG :Post Graduation Not Required, Any Postgraduate in Any SpecializationDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey Skillsrevenue generationCustomer Servicevirtual relationshipPortfolio Managementteam managementtraining managementproduct penetrationcross sellingbankingrelationship managementTelecallingobjection handlingcrm","['revenue generation', 'Customer Service', 'virtual relationship', 'Portfolio Management', 'team management', 'training management', 'product penetration', 'cross selling', 'banking', 'relationship management', 'Telecalling', 'objection handling', 'crm']","['UG :Any Graduate in Any Specialization', 'PG :Post Graduation Not Required, Any Postgraduate in Any Specialization', 'Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required']","Industry TypeBanking, Financial Services, Broking,","Functional AreaFinancial Services, Banking, Investments, Insurance,","Employment TypeFull Time, Permanent",Role CategoryRetail/Personal Banking
"RBL Bank, formerly known as Ratnakar Bank, is an Indian private sector bank headquartered in Mumbai and founded in 1943.","RoleBranch Manager,","₹ 10,00,000 - 16,00,000 P.A. ",6 - 11 years,Bengaluru,"Job descriptionDear Candidates,We are urgently looking for Branch Manager - RBL BankLocation - Domlur Branch BangalorePlease Note :- The opening is for Domlur Location only , candidate from Near by Location will be preferable.Candidate those are already working as Branch Manager will be entertained.Handling the New Branch and Managing end to Sales and operations.Required Skills - Candidate should be working as Branch Manager already.More than 5 / 6+ yrs experience required.Leadership qualityThanks & Regards,Aarti.B - Human Resource - RBL Bank8554811777aarti.bansode@rblbank.comRoleBranch Manager,Industry TypeBanking, Financial Services, Broking,Functional AreaFinancial Services, Banking, Investments, Insurance,Employment TypeFull Time, PermanentRole CategoryRetail/Personal BankingEducationUG :Any Graduate in Any Specialization, B.Com in CommercePG :Any Postgraduate in Any Specialization, Post Graduation Not RequiredDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey SkillsBranch ManagementSales OperationsBranchBankingbranch managerbr mgrbmBranch Handling","['Branch Management', 'Sales Operations', 'Branch', 'Banking', 'branch manager', 'br mgr', 'bm', 'Branch Handling']","['UG :Any Graduate in Any Specialization, B.Com in Commerce', 'PG :Any Postgraduate in Any Specialization, Post Graduation Not Required', 'Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required']","Industry TypeBanking, Financial Services, Broking,","Functional AreaFinancial Services, Banking, Investments, Insurance,","Employment TypeFull Time, Permanent",Role CategoryRetail/Personal Banking
